iter	Passed	Remaining
432	1648	2159
433	1652	2155
434	1657	2152
435	1660	2148
436	1664	2144
437	1669	2141
438	1672	2137
439	1676	2133
440	1680	2129
441	1684	2126
442	1687	2121
443	1691	2118
444	1695	2114
445	1699	2110
446	1703	2107
447	1707	2103
448	1710	2099
449	1714	2095
450	1718	2091
451	1721	2087
452	1724	2082
453	1728	2078
454	1733	2076
455	1738	2073
456	1742	2069
457	1745	2065
458	1748	2061
459	1752	2056
460	1756	2053
461	1760	2049
462	1764	2046
463	1767	2042
464	1770	2037
465	1774	2032
466	1777	2029
467	1781	2025
468	1785	2021
469	1789	2017
470	1791	2012
471	1795	2008
472	1800	2005
473	1803	2001
474	1807	1998
475	1812	1995
476	1817	1992
477	1820	1988
478	1824	1984
479	1828	1980
480	1831	1976
481	1836	1973
482	1840	1970
483	1844	1966
484	1849	1963
485	1854	1960
486	1857	1956
487	1861	1952
488	1866	1950
489	1870	1946
490	1874	1942
491	1878	1939
492	1883	1937
493	1887	1933
494	1892	1930
495	1896	1927
496	1900	1923
497	1905	1920
498	1911	1918
499	1917	1917
500	1921	1913
501	1924	1909
502	1928	1905
503	1932	1901
504	1935	1897
505	1939	1893
506	1942	1889
507	1948	1886
508	1951	1882
509	1956	1879
510	1959	1875
511	1963	1871
512	1967	1867
513	1970	1863
514	1974	1859
515	1977	1854
516	1981	1850
517	1984	1846
518	1987	1842
519	1991	1838
520	1995	1834
521	1998	1830
522	2002	1825
523	2005	1821
524	2008	1816
525	2011	1812
526	2015	1808
527	2018	1804
528	2022	1800
529	2026	1796
530	2029	1792
531	2033	1788
532	2036	1784
533	2040	1780
534	2044	1776
535	2047	1772
536	2051	1768
537	2054	1764
538	2058	1760
539	2061	1756
540	2065	1752
541	2068	1747
542	2071	1742
543	2073	1738
544	2077	1734
545	2081	1730
546	2084	1726
547	2088	1722
548	2092	1718
549	2097	1715
550	2100	1711
551	2105	1708
552	2108	1704
553	2112	1700
554	2117	1697
555	2121	1694
556	2125	1690
557	2129	1686
558	2132	1682
559	2136	1678
560	2140	1675
561	2143	1670
562	2148	1667
563	2151	1663
564	2154	1659
565	2159	1655
566	2163	1652
567	2167	1648
568	2171	1644
569	2176	1642
570	2180	1638
571	2186	1635
572	2189	1631
573	2194	1628
574	2198	1624
575	2202	1620
576	2205	1616
577	2209	1613
578	2213	1609
579	2218	1606
580	2221	1602
581	2226	1599
582	2230	1595
583	2235	1592
584	2240	1589
585	2244	1585
586	2248	1582
587	2254	1579
588	2272	1585
589	2283	1587
590	2290	1585
591	2296	1582
592	2304	1581
593	2311	1580
594	2318	1578
595	2324	1575
